,Product,Product Page,Product Title,Product subtitle,Developer,Rating,Ranking,Availability,Size,Lang,Version,Category
10,Arabic Dictionary - قاموس عربي,https://itunes.apple.com/sa/app/arabic-dictionary-%D9%82%D8%A7%D9%85%D9%88%D8%B3-%D8%B9%D8%B1%D8%A8%D9%8A/id408908533?mt=8,"Arabic Dictionary - قاموس عربي
          4+",Best Offline Arabic Translator,iComet,4.6,#55 in Books,Free,90.9 MB,English,Version 6.1,Books
11,Goodreads: Book Reviews,https://itunes.apple.com/sa/app/goodreads-book-reviews/id355833469?mt=8,"Goodreads: Book Reviews
          4+","Kindle, Audible, Amazon & more",Goodreads,4.7,#21 in Books,Free,96.9 MB,"English, Italian",Version 3.15.1,Books
12,Wattpad,https://itunes.apple.com/sa/app/wattpad/id306310789?mt=8,"Wattpad
          17+",Global reading & writing app,Wattpad Corp,4.7,#7 in Books,Free,143.5 MB,"English, Arabic, Czech, Danish, Dutch, Filipino, French, German, Hebrew, Indonesian, Italian, Korean, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Version 8.8.0,Books
13,ألف سٌنة في اليوم والليلة,https://itunes.apple.com/sa/app/%D8%A3%D9%84%D9%81-%D8%B3-%D9%86%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%8A%D9%88%D9%85-%D9%88%D8%A7%D9%84%D9%84%D9%8A%D9%84%D8%A9/id453223651?mt=8,"ألف سٌنة في اليوم والليلة
          4+",NA,Mohamed Ashour,3.9,#115 in Books,Free,83 MB,"English, Arabic",Version 5.3,Books
14,حلول المناهج الدراسية حل الكتب,https://itunes.apple.com/sa/app/%D8%AD%D9%84%D9%88%D9%84-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D9%87%D8%AC-%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D9%8A%D8%A9-%D8%AD%D9%84-%D8%A7%D9%84%D9%83%D8%AA%D8%A8/id1307191578?mt=8,"حلول المناهج الدراسية حل الكتب
          4+",Solutions Arabic school books,Rain Lab,2.5,#9 in Books,Free,150.2 MB,"English, Arabic",Version 1.6.1,Books
15,ياقوت سابقا - Rufoof,https://itunes.apple.com/sa/app/%D9%8A%D8%A7%D9%82%D9%88%D8%AA-%D8%B3%D8%A7%D8%A8%D9%82%D8%A7-rufoof/id1115820042?mt=8,"ياقوت سابقا - Rufoof
          4+",آلاف الكتب العربية في جيبك,Yaqut,4.3,#14 in Books,Free,62.5 MB,English,Version 4.6,Books
16,حقيبة عين,https://itunes.apple.com/sa/app/%D8%AD%D9%82%D9%8A%D8%A8%D8%A9-%D8%B9%D9%8A%D9%86/id1052489412?mt=8,"حقيبة عين
          4+",NA,Tatweer for Educational Services,3,#17 in Books,Free,92.1 MB,English,Version 4.3,Books
17,حصن المسلم | Hisn AlMuslim,https://itunes.apple.com/sa/app/%D8%AD%D8%B5%D9%86-%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85-hisn-almuslim/id1439791907?mt=8,"حصن المسلم | Hisn AlMuslim
          4+",NA,Arabia For Information Technology,4.8,#1 in Books,Free,45.5 MB,"English, Albanian, Arabic, Azerbaijani, Dutch, Filipino, French, Ganda, Hausa, Indonesian, Malay, Malayalam, Marathi, Persian, Russian, Serbo-Croatian, Singhalese, Spanish, Swahili, Turkish, Uzbek, Vietnamese, Yoruba",NA,Books
18,أهم ١٠٠ جملة انجليزية و طريقة نطقها,https://itunes.apple.com/sa/app/%D8%A3%D9%87%D9%85-%D9%A1%D9%A0%D9%A0-%D8%AC%D9%85%D9%84%D8%A9-%D8%A7%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D9%88-%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D9%86%D8%B7%D9%82%D9%87%D8%A7/id486608866?mt=8,"أهم ١٠٠ جملة انجليزية و طريقة نطقها
          4+",NA,The Dark Dimension,4,"4.0, 61 Ratings",Free,2.8 MB,English,Version 1.1,Books
19,القران الكريم | ماهر المعيقلي | المصحف الشريف,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85-%D9%85%D8%A7%D9%87%D8%B1-%D8%A7%D9%84%D9%85%D8%B9%D9%8A%D9%82%D9%84%D9%8A-%D8%A7%D9%84%D9%85%D8%B5%D8%AD%D9%81-%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81/id907584317?mt=8,"القران الكريم | ماهر المعيقلي | المصحف الشريف
          4+",NA,Moohamad Hinbarji,4.3,#22 in Books,Free,21.9 MB,English,Version 1.5,Books
20,نكت محشش,https://itunes.apple.com/sa/app/%D9%86%D9%83%D8%AA-%D9%85%D8%AD%D8%B4%D8%B4/id487161280?mt=8,"نكت محشش
          17+",NA,Kalamanteena Letechniat Al-Ma'Loumat LTD. CO.,1.4,#47 in Books,Free,13.9 MB,English,Version 1.7,Books
21,أبجد: كتب - روايات - قصص عربية,https://itunes.apple.com/sa/app/%D8%A3%D8%A8%D8%AC%D8%AF-%D9%83%D8%AA%D8%A8-%D8%B1%D9%88%D8%A7%D9%8A%D8%A7%D8%AA-%D9%82%D8%B5%D8%B5-%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9/id976628194?mt=8,"أبجد: كتب - روايات - قصص عربية
          4+",آلاف الكتب والروايات بين يديك,Abjjad LTD,3.7,#11 in Books,Free,50.8 MB,English,Version 1.8.40,Books
22,Obeikan Store,https://itunes.apple.com/sa/app/obeikan-store/id445211116?mt=8,"Obeikan Store
          4+",NA,New Thinkers,3.9,"3.9, 48 Ratings",Free,32.6 MB,"English, Arabic",Version 5.0,Books
23,المكتبة الشاملة,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D9%85%D9%84%D8%A9/id551207128?mt=8,"المكتبة الشاملة
          4+",NA,Shamela.ws,4.3,#31 in Books,Free,32.7 MB,English,Version 1.4,Books
24,قصص مخيفة,https://itunes.apple.com/sa/app/%D9%82%D8%B5%D8%B5-%D9%85%D8%AE%D9%8A%D9%81%D8%A9/id487160589?mt=8,"قصص مخيفة
          4+",NA,Kalamanteena Letechniat Al-Ma'Loumat LTD. CO.,3.3,#66 in Books,Free,13.6 MB,English,Version 1.9,Books
25,المكتبة العربية,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9/id466702384?mt=8,"المكتبة العربية
          4+",NA,Zain,1.9,#51 in Books,Free,81.5 MB,English,Version 1.7,Books
26,MSlayer,https://itunes.apple.com/sa/app/mslayer/id1437035965?mt=8,"MSlayer
          12+",NA,hussein ahmed,3.9,#4 in Books,Free,56.2 MB,"English, Arabic",NA,Books
27,فن إدارة المواقف,https://itunes.apple.com/sa/app/%D9%81%D9%86-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D9%82%D9%81/id417629057?mt=8,"فن إدارة المواقف
          4+",NA,New Thinkers,4.3,"4.3, 88 Ratings",Free,18.5 MB,"English, Arabic",Version 3.0,Books
28,أجمل قصص الأطفال,https://itunes.apple.com/sa/app/%D8%A3%D8%AC%D9%85%D9%84-%D9%82%D8%B5%D8%B5-%D8%A7%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84/id475747059?mt=8,"أجمل قصص الأطفال
          4+",NA,Kalamanteena Letechniat Al-Ma'Loumat LTD. CO.,2.8,#103 in Books,Free,14 MB,English,Version 4.3,Books
29,مفاتيح الجنان,https://itunes.apple.com/sa/app/%D9%85%D9%81%D8%A7%D8%AA%D9%8A%D8%AD-%D8%A7%D9%84%D8%AC%D9%86%D8%A7%D9%86/id409991823?mt=8,"مفاتيح الجنان
          4+",NA,AlMahdi A.T.F,4.5,#68 in Books,Free,27.1 MB,English,Version 9.3.0,Books
30,Color Therapy Coloring Number,https://itunes.apple.com/sa/app/color-therapy-coloring-number/id1031002863?mt=8,"Color Therapy Coloring Number
          4+",Coloring Book for Adults Games,Miinu Limited,4.3,#39 in Books,Free,184.2 MB,"English, French",Version 3.2.1,Books
31,Scribd - audiobooks & ebooks,https://itunes.apple.com/sa/app/scribd-audiobooks-ebooks/id542557212?mt=8,"Scribd - audiobooks & ebooks
          12+","Audiobooks, ebooks, sheetmusic",Scribd,4.6,#43 in Books,Free,221.4 MB,"English, French, Indonesian, Portuguese, Spanish",Version 9.4.0,Books
32,القران الكريم - برنامج منظم ختمة المصحف الشريف,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D9%85%D9%86%D8%B8%D9%85-%D8%AE%D8%AA%D9%85%D8%A9-%D8%A7%D9%84%D9%85%D8%B5%D8%AD%D9%81-%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81/id1114515555?mt=8,"القران الكريم - برنامج منظم ختمة المصحف الشريف
          4+",NA,Romman Smart Applications LLC,2.9,#45 in Books,Free,18.9 MB,English,Version 1.24,Books
33,العلاج بالاعشاب.,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D8%AC-%D8%A8%D8%A7%D9%84%D8%A7%D8%B9%D8%B4%D8%A7%D8%A8/id588139461?mt=8,"العلاج بالاعشاب.
          4+",NA,Mohammed Mohaisen,5,#114 in Books,Free,15.8 MB,English,Version 1.8,Books
34,Audible: An Amazon Company,https://itunes.apple.com/sa/app/audible-an-amazon-company/id379693831?mt=8,"Audible: An Amazon Company
          4+",Audiobooks & Podcast Library,"Audible, Inc.",4.7,#30 in Books,Free,90.1 MB,"English, French, German, Italian, Japanese, Spanish",Version 3.5,Books
35,اقرألي - كتب مسموعة,https://itunes.apple.com/sa/app/%D8%A7%D9%82%D8%B1%D8%A3%D9%84%D9%8A-%D9%83%D8%AA%D8%A8-%D9%85%D8%B3%D9%85%D9%88%D8%B9%D8%A9/id586168895?mt=8,"اقرألي - كتب مسموعة
          4+",اسمع كتابك المفضل,Innovolve,4.6,#15 in Books,Free,72.5 MB,"English, Arabic",Version 3.17,Books
36,تعلم الانجليزية بسهولة,https://itunes.apple.com/sa/app/%D8%AA%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D8%A7%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A8%D8%B3%D9%87%D9%88%D9%84%D8%A9/id1060198991?mt=8,"تعلم الانجليزية بسهولة
          4+",شامل القواعد والكلمات وغيرة,Mohammad Daoud,4.2,#28 in Books,Free,37.2 MB,English,Version 1.5,Books
37,DrSlayer,https://itunes.apple.com/sa/app/drslayer/id1374810631?mt=8,"DrSlayer
          12+",NA,hussein ahmed,4.4,#12 in Books,Free,55.5 MB,"English, Arabic",NA,Books
38,Google Play Books,https://itunes.apple.com/sa/app/google-play-books/id400989007?mt=8,"Google Play Books
          4+",NA,Google LLC,4.5,#25 in Books,Free,82.1 MB,"English, Afrikaans, Arabic, Bulgarian, Catalan, Chinese (Hong Kong), Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Latvian, Lithuanian, Malay, Norwegian, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Slovenian, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Version 5.2.2,Books
39,دمج الصور الاحترافي,https://itunes.apple.com/sa/app/%D8%AF%D9%85%D8%AC-%D8%A7%D9%84%D8%B5%D9%88%D8%B1-%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A/id1059221133?mt=8,"دمج الصور الاحترافي
          4+",الان بأمكانك التحكم بالصور,Tymor Bushnaq,3.3,#59 in Books,Free,29.1 MB,English,Version 4.1.2,Books
40,المصحف الجوال,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D9%85%D8%B5%D8%AD%D9%81-%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D9%84/id739258903?mt=8,"المصحف الجوال
          4+",القران الكريم بدون انترنت,Faisal Dhobaib,4.4,#48 in Books,Free,39.8 MB,English,Version 2.1,Books
41,MangaSlayer - مانجا سلاير,https://itunes.apple.com/sa/app/mangaslayer-%D9%85%D8%A7%D9%86%D8%AC%D8%A7-%D8%B3%D9%84%D8%A7%D9%8A%D8%B1/id1286510841?mt=8,"MangaSlayer - مانجا سلاير
          9+",NA,hussein ahmed,4.5,#13 in Books,Free,59.8 MB,"English, Arabic",Version 1.0.4,Books
42,نكت للكبار,https://itunes.apple.com/sa/app/%D9%86%D9%83%D8%AA-%D9%84%D9%84%D9%83%D8%A8%D8%A7%D8%B1/id556847897?mt=8,"نكت للكبار
          17+",NA,Mohammed Mohaisen,2.1,#33 in Books,Free,29.4 MB,English,Version 1.6,Books
43,تطبيق الفهد للقرآن الكريم,https://itunes.apple.com/sa/app/%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A7%D9%84%D9%81%D9%87%D8%AF-%D9%84%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id1049218675?mt=8,"تطبيق الفهد للقرآن الكريم
          4+",NA,Advanced Apps Co.,4.8,"4.8, 62 Ratings",Free,145.4 MB,English,Version 1.4,Books
44,جامع الكتب التسعة,https://itunes.apple.com/sa/app/%D8%AC%D8%A7%D9%85%D8%B9-%D8%A7%D9%84%D9%83%D8%AA%D8%A8-%D8%A7%D9%84%D8%AA%D8%B3%D8%B9%D8%A9/id1149785262?mt=8,"جامع الكتب التسعة
          4+",NA,Arabia For Information Technology,4.8,#41 in Books,Free,526.3 MB,English,Version 2.0.1,Books
45,قران كريم - سعد الغامدي - القران الكريم,https://itunes.apple.com/sa/app/%D9%82%D8%B1%D8%A7%D9%86-%D9%83%D8%B1%D9%8A%D9%85-%D8%B3%D8%B9%D8%AF-%D8%A7%D9%84%D8%BA%D8%A7%D9%85%D8%AF%D9%8A-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/id824458199?mt=8,"قران كريم - سعد الغامدي - القران الكريم
          4+",NA,Moohamad Hinbarji,4.5,#35 in Books,Free,20.3 MB,English,Version 1.4,Books
46,مصحف المدينة النبوية,https://itunes.apple.com/sa/app/%D9%85%D8%B5%D8%AD%D9%81-%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%D8%A9/id498543428?mt=8,"مصحف المدينة النبوية
          4+",NA,مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,4.3,#143 in Books,Free,65.1 MB,"English, Arabic, French, German, Indonesian, Simplified Chinese, Spanish, Urdu",Version 3.4,Books
47,رفوف,https://itunes.apple.com/sa/app/%D8%B1%D9%81%D9%88%D9%81/id398041676?mt=8,"رفوف
          4+",NA,Rufoof Online FZ-LLC,4.1,#27 in Books,Free,47.3 MB,English,Version 4.1,Books
48,Cinderella Fairy Tale HD,https://itunes.apple.com/sa/app/cinderella-fairy-tale-hd/id542123685?mt=8,"Cinderella Fairy Tale HD
          4+",Interactive Classic Storybook,TabTale LTD,5,"5.0, 1 Rating",Free,95.6 MB,English,Version 2.9,Books
49,READIT - Chat Stories,https://itunes.apple.com/sa/app/readit-chat-stories/id1214593569?mt=8,"READIT - Chat Stories
          17+",Texts app to get you hooked,Bending Spoons Apps IVS,4.2,#107 in Books,Free,130.5 MB,"English, Arabic, Chinese, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Turkish",Version 3.10.41,Books
50,The Princess and the Pea Tale,https://itunes.apple.com/sa/app/the-princess-and-the-pea-tale/id436629754?mt=8,"The Princess and the Pea Tale
          4+",An Interactive Storybook,TabTale LTD,NA,Free,Free,102.3 MB,English,Version 2.8,Books
51,Jeremy Lipking: Figures,https://itunes.apple.com/sa/app/jeremy-lipking-figures/id365183687?mt=8,"Jeremy Lipking: Figures
          12+",NA,EnsoMobile,2.8,"2.8, 866 Ratings",Free,4.7 MB,English,NA,Books
52,كتاب استمتع بحياتك للدكتور محمد العريفي,https://itunes.apple.com/sa/app/%D9%83%D8%AA%D8%A7%D8%A8-%D8%A7%D8%B3%D8%AA%D9%85%D8%AA%D8%B9-%D8%A8%D8%AD%D9%8A%D8%A7%D8%AA%D9%83-%D9%84%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1-%D9%85%D8%AD%D9%85%D8%AF-%D8%A7%D9%84%D8%B9%D8%B1%D9%8A%D9%81%D9%8A/id722287232?mt=8,"كتاب استمتع بحياتك للدكتور محمد العريفي
          4+",NA,Arrawdah,3.4,#91 in Books,Free,59.6 MB,English,Version 1.3,Books
53,قصص مرعبة,https://itunes.apple.com/sa/app/%D9%82%D8%B5%D8%B5-%D9%85%D8%B1%D8%B9%D8%A8%D8%A9/id486217075?mt=8,"قصص مرعبة
          4+",NA,Kalamanteena Letechniat Al-Ma'Loumat LTD. CO.,3.3,#101 in Books,Free,15 MB,English,Version 1.7,Books
54,القران الكريم -بصوت احمد العجمي - القرآن الشريف,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85-%D8%A8%D8%B5%D9%88%D8%AA-%D8%A7%D8%AD%D9%85%D8%AF-%D8%A7%D9%84%D8%B9%D8%AC%D9%85%D9%8A-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81/id824435368?mt=8,"القران الكريم -بصوت احمد العجمي - القرآن الشريف
          4+",NA,Moohamad Hinbarji,4,#84 in Books,Free,22 MB,English,Version 1.5,Books
55,مفاتيح الجنان الناطق,https://itunes.apple.com/sa/app/%D9%85%D9%81%D8%A7%D8%AA%D9%8A%D8%AD-%D8%A7%D9%84%D8%AC%D9%86%D8%A7%D9%86-%D8%A7%D9%84%D9%86%D8%A7%D8%B7%D9%82/id544017330?mt=8,"مفاتيح الجنان الناطق
          4+",NA,Mohammed ALSarraf,4.3,"4.3, 9 Ratings",Free,36.3 MB,English,Version 3.0.1,Books
56,نكت خليجية,https://itunes.apple.com/sa/app/%D9%86%D9%83%D8%AA-%D8%AE%D9%84%D9%8A%D8%AC%D9%8A%D8%A9/id556370586?mt=8,"نكت خليجية
          4+",NA,Mohammed Mohaisen,1,#173 in Books,Free,30.3 MB,English,Version 1.6,Books
57,من  عجائب  الاستغفار,https://itunes.apple.com/sa/app/%D9%85%D9%86-%D8%B9%D8%AC%D8%A7%D8%A6%D8%A8-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%BA%D9%81%D8%A7%D8%B1/id480629805?mt=8,"من  عجائب  الاستغفار
          4+",NA,abdelrahman mohamed,4.5,#70 in Books,Free,11.7 MB,"English, French, German, Spanish",Version 1.1,Books
58,القاعدة النورانية لايت,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D9%82%D8%A7%D8%B9%D8%AF%D8%A9-%D8%A7%D9%84%D9%86%D9%88%D8%B1%D8%A7%D9%86%D9%8A%D8%A9-%D9%84%D8%A7%D9%8A%D8%AA/id843111257?mt=8,"القاعدة النورانية لايت
          4+",NA,Furqan Group for Education& IT,4.2,#52 in Books,Free,84 MB,English,Version 1.4,Books
59,مصحف المدينة,https://itunes.apple.com/sa/app/%D9%85%D8%B5%D8%AD%D9%81-%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9/id1171085682?mt=8,"مصحف المدينة
          4+",NA,Madar Al Parmaga,4.8,#23 in Books,Free,186.1 MB,English,Version 2.1,Books
60,أدعيه شاملة,https://itunes.apple.com/sa/app/%D8%A3%D8%AF%D8%B9%D9%8A%D9%87-%D8%B4%D8%A7%D9%85%D9%84%D8%A9/id792691747?mt=8,"أدعيه شاملة
          4+",اذكار وادعيه شامله,Akram Ahmed,4.1,#32 in Books,Free,35.6 MB,English,Version 2.15,Books
61,روايات,https://itunes.apple.com/sa/app/%D8%B1%D9%88%D8%A7%D9%8A%D8%A7%D8%AA/id1039658821?mt=8,"روايات
          4+",NA,Saleh Al Shamrani,1.2,#49 in Books,Free,8.8 MB,English,NA,Books
62,Manga Rock,https://itunes.apple.com/sa/app/manga-rock/id519675128?mt=8,"Manga Rock
          17+",The Best Manga Reader,Not A Basement Studio JSC,4.7,#24 in Books,Free,275 MB,"English, Arabic, Chinese, Dutch, French, German, Indonesian, Italian, Portuguese, Russian, Spanish, Turkish, Vietnamese",Version 4.8.1,Books
63,Marvel Comics,https://itunes.apple.com/sa/app/marvel-comics/id350027738?mt=8,"Marvel Comics
          12+",NA,Marvel Entertainment,4,#119 in Books,Free,56.7 MB,"English, French",Version 3.11.7,Books
64,هكذا هزموا اليأس,https://itunes.apple.com/sa/app/%D9%87%D9%83%D8%B0%D8%A7-%D9%87%D8%B2%D9%85%D9%88%D8%A7-%D8%A7%D9%84%D9%8A%D8%A3%D8%B3/id499907689?mt=8,"هكذا هزموا اليأس
          4+",NA,abdelrahman mohamed,3.6,#73 in Books,Free,13.1 MB,"English, French, German, Spanish",Version 2.0,Books
65,كلمة للترجمة,https://itunes.apple.com/sa/app/%D9%83%D9%84%D9%85%D8%A9-%D9%84%D9%84%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/id471708124?mt=8,"كلمة للترجمة
          4+",NA,New Thinkers,4.7,"4.7, 3 Ratings",Free,31.5 MB,"English, Arabic",Version 3.0,Books
66,كيف تنجز أكثر,https://itunes.apple.com/sa/app/%D9%83%D9%8A%D9%81-%D8%AA%D9%86%D8%AC%D8%B2-%D8%A3%D9%83%D8%AB%D8%B1/id488873228?mt=8,"كيف تنجز أكثر
          4+",NA,Mohamed Mohamed,4.2,"4.2, 5 Ratings",Free,7.1 MB,English,Version 1.2.0,Books
67,رواية من ينقذ زوجتي مجاني,https://itunes.apple.com/sa/app/%D8%B1%D9%88%D8%A7%D9%8A%D8%A9-%D9%85%D9%86-%D9%8A%D9%86%D9%82%D8%B0-%D8%B2%D9%88%D8%AC%D8%AA%D9%8A-%D9%85%D8%AC%D8%A7%D9%86%D9%8A/id398901459?mt=8,"رواية من ينقذ زوجتي مجاني
          4+",NA,a.d.h media ltd,3.4,"3.4, 123 Ratings",Free,1.2 MB,English,NA,Books
68,الصحيفة السجادية : أدعية الإمام زين العابدين عليه السلام,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D8%B5%D8%AD%D9%8A%D9%81%D8%A9-%D8%A7%D9%84%D8%B3%D8%AC%D8%A7%D8%AF%D9%8A%D8%A9-%D8%A3%D8%AF%D8%B9%D9%8A%D8%A9-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D9%85-%D8%B2%D9%8A%D9%86-%D8%A7%D9%84%D8%B9%D8%A7%D8%A8%D8%AF%D9%8A%D9%86-%D8%B9%D9%84%D9%8A%D9%87-%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85/id409993200?mt=8,"الصحيفة السجادية : أدعية الإمام زين العابدين عليه السلام
          4+",NA,AlMahdi A.T.F,4.1,"4.1, 132 Ratings",Free,3.4 MB,English,Version 2.0,Books
